							
END 2023							
lokakuu	1vk						
ruoka	4.28	13.08	18.66		3.5	42.14	
kosmetiikka	59				11.99		
kukat		23.4					
kodintarv					70.99		
							
							
							
							
							
							
END							
maaliskuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		14.02	5.97	7.06	21.01		4.03
kodintarv		4.95					2.99
ravintola							11.97
							
							
							
							
							
							
							
END							
maaliskuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	10.46	4	27.67	13.51	6.04	8.17	19.36
ravintola	14.9						
kodintarv						4.58	3.9
kosmetiikka							8.79
							
							
							
							
							
							
END							
maaliskuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	12.9	37.89	17.02			12.59	
kodintarv		8.79				9.04	
							
							
							
							
							
							
							
							
END							
huhtikuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	36.15	32.9	4.01	12.97	13.22		
laake		4.5	48.21				
kodintarv				3.18			
							
							
							
							
							
							
							
END							
huhtikuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	10.61	8.28	23.07	3.11	35.41		
kodintarv	25.29	11.77	41.5	93.55	3.95		
laake	3.41						
kosmetiikka				10.6			
ravintola				14.9			
							
							
							
							
							
END							
huhtikuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	8.47	12.9	6.23	6.54		7.23	
kodintarv		10.58		3		1.69	
ravintola				13.5			
kosmetiikka				10.1			
vaatteet				84.8			
							
							
							
							
							
END							
huhtikuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		11.2	29.14	7.87	55.94	3.59	21.1
vaatteet		49.9					
kukat			10.9				
kodintarv			12.9		4.98	163.95	3.19
							
							
							
							
							
							
END							
huhtikuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		30.82					
							
							
							
							
							
							
							
							
							
END							
toukokuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka			4.4	1.19		8.65	5.96
laake				20.06			
kodintarv							11.95
							
							
							
							
							
							
							
END							
toukokuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	7.39	29.05	9.61		10.5		35.37
kodintarv							35.88
							
							
							
							
							
							
							
							
END							
toukokuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	7.69	5.53	16.6	3.48	23.89	6.08	12.75
kodintarv	523						
kirppis	40.8						
ravintola	29		11.3				
							
							
							
							
							
							
END							
toukokuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		17.47	5.3	4.36	5.39	35.43	20.76
laake			4.5				
							
							
							
							
							
							
							
							
END							
